rx	ry	rz	vx	vy	vz	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
 -0.617742 	 -5.732772 	  3.004020 	-3215.564209 	 -0.000000 	125359.242188 	 10.15 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.530640 	    1 	  452 	  128 	  710
  3.291057 	 -2.247748 	  3.001935 	-2704.273438 	 -0.000000 	115753.609375 	  7.54 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.661682 	    1 	  860 	  128 	 1118
 -0.680485 	  1.271443 	  3.001627 	-4132.340820 	 -0.000000 	125202.343750 	 10.28 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.109619 	    1 	 1272 	  128 	 1530
  3.109551 	  1.655820 	  3.000845 	-443.716522 	 -0.000000 	115323.367188 	  7.90 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.779549 	    1 	 1317 	  128 	 1575
 -0.536645 	 -6.014649 	  3.000005 	2999.146240 	 -0.000000 	121800.484375 	 10.92 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.410530 	    1 	 2419 	  128 	 2677
  3.220350 	 -1.923163 	  3.000646 	-3727.647217 	 -0.000000 	115905.507813 	  7.58 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.157944 	    1 	 2898 	  128 	 3156
  3.314242 	 -2.298999 	  3.001397 	1656.829834 	 -0.000000 	114917.765625 	  7.80 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.826004 	    1 	 4854 	  128 	 5112
  3.319152 	 -2.196498 	  3.002992 	1243.125732 	 -0.000000 	115055.343750 	  7.73 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.619034 	    1 	 4866 	  128 	 5124
  3.326169 	 -2.298999 	  3.003332 	-449.067444 	 -0.000000 	115315.179688 	  7.66 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.776878 	    1 	 6854 	  128 	 7112
  3.245890 	 -2.042747 	  3.004609 	  5.785508 	 -0.000000 	115489.953125 	  7.75 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.002869 	    1 	 6884 	  128 	 7142
  3.298899 	 -1.863371 	  3.000143 	-1986.729858 	 -0.000000 	115598.218750 	  7.62 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.015381 	    1 	 6905 	  128 	 7163
  2.265588 	  2.313533 	  3.003374 	-3959.375488 	 -0.000000 	127022.671875 	 24.31 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.214630 	    1 	 7394 	  128 	 7652
 -2.524026 	  6.336686 	  3.001865 	-1541.889404 	 -0.000000 	106630.710938 	 23.41 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.171555 	    1 	 7865 	  128 	 8123
  3.499066 	 -2.008580 	  3.001443 	815.955688 	 -0.000000 	115289.281250 	  7.46 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.405502 	    1 	 8888 	  128 	 9146
  3.326208 	 -1.854829 	  3.002030 	1976.891357 	 -0.000000 	114965.554688 	  7.83 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.985130 	    1 	 8906 	  128 	 9164
 -0.570734 	 -5.792564 	  3.003733 	-3455.900635 	 -0.000000 	125232.125000 	 10.16 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.419266 	    1 	12445 	  128 	12703
 -0.959180 	 -1.982955 	  3.002568 	-2089.126465 	 -0.000000 	89909.476563 	 12.91 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.668922 	    1 	12891 	  128 	13149
  3.315457 	 -1.948788 	  3.003167 	-3106.337891 	 -0.000000 	115882.984375 	  7.51 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.464508 	    1 	12895 	  128 	13153
 -0.443207 	 -5.613188 	  3.004907 	3048.191162 	 -0.000000 	123092.367188 	 10.40 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.418549 	    1 	14466 	  128 	14724
 -0.400658 	  1.416652 	  3.001744 	1308.461182 	 -0.000000 	123856.476563 	 10.04 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.605270 	    1 	15289 	  128 	15547
  3.089722 	  1.544778 	  3.004329 	1242.537476 	 -0.000000 	115272.390625 	  8.06 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.617577 	    1 	15304 	  128 	15562
 -0.807998 	  1.724154 	  3.000705 	-3290.761719 	 -0.000000 	125535.992188 	 10.30 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.498413 	    1 	15325 	  128 	15583
  3.085726 	  1.732696 	  3.001204 	1428.303223 	 -0.000000 	114979.421875 	  8.12 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.711708 	    1 	15326 	  128 	15584
  3.356720 	 -1.957330 	  3.002731 	3908.912354 	 -0.000000 	114750.328125 	  7.88 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.950996 	    1 	16894 	  128 	17152
  3.149763 	  1.724154 	  3.001616 	-856.051636 	 -0.000000 	115406.945313 	  7.89 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.575005 	    1 	17325 	  128 	17583
  3.146470 	 -5.775481 	  3.004362 	-1433.613525 	 -0.000000 	115371.062500 	  7.85 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.288071 	    1 	20447 	  128 	20705
  3.384902 	 -1.957330 	  3.002569 	501.809235 	 -0.000000 	115109.570313 	  7.65 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.249771 	    1 	20894 	  128 	21152
