rx	ry	rz	vx 	vy	vz 	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
 -6.444071 	 -1.871334 	  3.000873 	2080.345459 	 -0.000000 	96645.671875 	  8.54 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.233131 	    1 	15147 	  128 	387867
 -6.358193 	  2.015126 	  3.003016 	-1613.000244 	 -0.000000 	98548.117188 	  7.93 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.062286 	    1 	16057 	  128 	388777
 -6.370972 	 -1.978109 	  3.003016 	1677.523804 	 -0.000000 	95663.375000 	  8.49 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.004616 	    1 	17122 	  128 	389842
 -6.467438 	  2.049294 	  3.000256 	-2613.840332 	 -0.000000 	99291.898438 	  7.88 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.492050 	    1 	18065 	  128 	390785
 -6.314907 	 -1.901231 	  3.002712 	-602.825256 	 -0.000000 	96761.593750 	  8.28 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.643051 	    1 	19140 	  128 	391860
 -6.305002 	  1.921164 	  3.001185 	2282.241699 	 -0.000000 	97465.031250 	  8.20 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.341393 	    1 	20035 	  128 	392755
  6.621029 	  2.049294 	  3.001807 	2050.467285 	 -0.000000 	112496.351563 	  9.83 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.044212 	    1 	20065 	  128 	392785
 -6.287327 	  2.254302 	  3.003874 	-1611.383789 	 -0.000000 	102589.343750 	  7.21 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.100121 	    1 	20113 	  128 	392833
 -6.117301 	 -2.277079 	  3.000129 	1896.432983 	 -0.000000 	96116.953125 	  8.10 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.130325 	    1 	21052 	  128 	393772
 -6.000046 	 -2.268537 	  3.001951 	3324.333008 	 -0.000000 	95651.687500 	  8.02 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.990486 	    1 	21054 	  128 	393774
 -6.337627 	 -2.140407 	  3.002436 	1446.744629 	 -0.000000 	96081.031250 	  8.40 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.862671 	    1 	21084 	  128 	393804
 -6.383933 	 -2.093426 	  3.001328 	728.590820 	 -0.000000 	96903.359375 	  8.28 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.430786 	    1 	21095 	  128 	393815
 -6.174846 	 -2.020819 	  3.003064 	2691.109863 	 -0.000000 	96196.132813 	  8.15 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.602448 	    1 	21112 	  128 	393832
 -6.680593 	  2.083462 	  3.000329 	-2144.556396 	 -0.000000 	101332.726563 	  7.82 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.787598 	    1 	22073 	  128 	394793
 -6.513007 	  2.237218 	  3.000573 	1238.687134 	 -0.000000 	100705.898438 	  7.81 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.704704 	    1 	22109 	  128 	394829
 -6.747843 	  2.373890 	  3.000071 	-2834.291504 	 -0.000000 	99934.101563 	  8.23 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.375435 	    1 	22141 	  128 	394861
  6.711496 	 -2.255724 	  3.003219 	-1717.875732 	 -0.000000 	110842.148438 	 10.18 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.112076 	    1 	23057 	  128 	395777
 -4.078804 	 -2.191659 	  1.753528 	2032.597168 	 -0.000000 	72714.093750 	 10.02 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.601189 	    1 	25072 	  128 	397792
 -6.440713 	  2.203050 	  3.003094 	976.346313 	 -0.000000 	102407.898438 	  7.47 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.546234 	    1 	26101 	  128 	398821
 -6.718450 	  2.254302 	  3.002522 	180.934921 	 -0.000000 	97528.625000 	  8.65 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.106293 	    1 	26113 	  128 	398833
