rx	ry	rz	vx	vy	vz	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
  4.084662 	 -0.427858 	  3.001120 	-2469.093262 	 -0.000000 	98790.015625 	 12.08 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.568283 	    1 	 8358 	  128 	 8616
  5.736180 	  3.159723 	  3.004392 	2687.573975 	 -0.000000 	114922.007813 	  8.64 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.339676 	    1 	 9198 	  128 	 9456
  5.861511 	  3.202432 	  3.003895 	-1292.879639 	 -0.000000 	115546.515625 	  8.21 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.358932 	    1 	 9208 	  128 	 9466
  6.030058 	  3.343373 	  3.003088 	3063.335449 	 -0.000000 	114889.804688 	  8.26 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.527328 	    1 	 9241 	  128 	 9499
 -1.288896 	  3.420250 	  3.000372 	2695.843994 	 -0.000000 	128407.460938 	 35.58 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.202713 	    1 	 9259 	  128 	 9517
  5.949628 	 -0.667030 	  3.003880 	-3095.093994 	 -0.000000 	115735.429688 	  8.02 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.468117 	    1 	10302 	  128 	10560
  5.854155 	  2.971802 	  3.001303 	843.634827 	 -0.000000 	115311.226563 	  8.48 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.419174 	    1 	11154 	  128 	11412
  5.869795 	  3.082846 	  3.001596 	3045.816406 	 -0.000000 	114993.562500 	  8.51 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.517227 	    1 	11180 	  128 	11438
  5.689665 	  3.108472 	  3.000762 	-3797.439453 	 -0.000000 	115892.710938 	  8.30 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.123268 	    1 	11186 	  128 	11444
  5.945092 	  3.377540 	  3.003107 	1788.325195 	 -0.000000 	115098.421875 	  8.32 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.890152 	    1 	11249 	  128 	11507
  5.634961 	  3.381811 	  3.000962 	-3706.128906 	 -0.000000 	115664.781250 	  8.41 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.164757 	    1 	11250 	  128 	11508
  4.861650 	  3.757653 	  3.002241 	-737.100037 	 -0.000000 	121917.195313 	 26.02 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.653603 	    1 	11338 	  128 	11596
  5.944621 	 -0.940370 	  3.003507 	2903.066650 	 -0.000000 	114534.703125 	  8.44 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.451942 	    1 	12238 	  128 	12496
  5.780482 	 -0.936099 	  3.002059 	3111.990723 	 -0.000000 	114724.945313 	  8.69 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.553802 	    1 	12239 	  128 	12497
  6.040951 	 -0.880577 	  3.002149 	1355.152344 	 -0.000000 	114739.515625 	  8.20 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.676674 	    1 	12252 	  128 	12510
