rx	ry	rz	vx 	vy 	vz 	time 	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
 -1.878064 	 -4.139505 	  3.002932 	4185.591797 	 -0.000000 	122787.601563 	  8.67 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.952347 	    1 	30908 	  128 	405899
  2.245908 	 -0.193229 	  3.003394 	-3086.160156 	 -0.000000 	115855.085938 	  5.37 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.474113 	    1 	31370 	  128 	406361
  2.009092 	  4.026384 	  3.003023 	-1016.497498 	 -0.000000 	115497.437500 	  5.74 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.495750 	    1 	31864 	  128 	406855
 -2.004776 	 -3.703877 	  3.004414 	659.615234 	 -0.000000 	123357.007813 	  8.73 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.306366 	    1 	32959 	  128 	407950
  2.360372 	 -0.210312 	  3.004078 	1437.410522 	 -0.000000 	115074.742188 	  5.40 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.715652 	    1 	35368 	  128 	410359
 -2.141399 	  4.171593 	  3.003174 	-1870.819458 	 -0.000000 	122550.625000 	  9.03 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.125412 	    1 	35881 	  128 	410872
  2.164192 	 -4.037005 	  3.004553 	435.326996 	 -0.000000 	115005.398438 	  5.60 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.216881 	    1 	36920 	  128 	411911
 -1.932891 	 -3.720961 	  3.003177 	1813.814819 	 -0.000000 	123677.703125 	  8.57 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.840218 	    1 	36957 	  128 	411948
 -4.002672 	  8.502498 	  3.000325 	-3140.244141 	 -0.000000 	119770.859375 	 22.37 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.498123 	    1 	40388 	  128 	415379
 -3.800382 	 -8.470160 	  3.001464 	-3194.203369 	 -0.000000 	128896.664063 	 17.22 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.580437 	    1 	40401 	  128 	415392
  2.294196 	  0.165524 	  3.000045 	-162.246368 	 -0.000000 	115352.648438 	  5.42 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.919411 	    1 	41412 	  128 	416403
  2.081092 	 -4.079713 	  3.001759 	780.737976 	 -0.000000 	115044.835938 	  5.74 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.388824 	    1 	42915 	  128 	417906
